['Great Divide Hercules Double IPA', '12oz Btl', '3.99', '14.79-4pk', '88.74']
['Great Divide Hoss Rye Lager', '12oz Btl', '2.29', '9.99', '39.96']
['Great Divide Smoked Baltic Porter', '22oz Btl', '9.99', '', '']
['Great Divide Titan IPA', '12oz Btl', '2.29', '9.99', '39.96']
['Great Divide Wild Raspberry Ale', '12oz Btl', '2.29', '9.99', '39.96']
['Great Divide Yeti Imperial Stout', '22oz Btl', '8.49', '', '']
['Green Flash Hop Head Red Ale', '12oz Btl', '2.99', '9.99-4pk', '59.94']
['Green Flash Imperial IPA', '22oz Btl', '6.49', '', '']
['Harpoon IPA (12pk-13.99)', '12oz Btl', '1.79', '6.99', '27.96']
['Harpoon Octoberfest', '12oz Btl', '', 'Seasonal', '']
['Harpoon UFO Hefeweizen', '12oz Btl', '1.79', '6.99', '27.96']
['Harpoon UFO Raspberry Hefeweizen', '12oz Btl', '1.79', '7.99', '31.96']
['Harpoon Variety Pack', '12oz Btl', '', '13.99', '27.98']
['Harpoon Winter Warmer', '12oz Btl', '', 'Seasonal', '']
['Heavy Seas Cabernet Brl Below Deck', '22oz Btl', '7.99', '', '']
['Heavy Seas Classic Lager', '12oz Btl', '1.49', '7.49', '29.96']
['Heavy Seas Gold Ale', '12oz Btl', '1.49', '7.49', '29.96']
['Heavy Seas Loose Cannon Hop3 Ale', '12oz Btl', '1.99', '8.49', '33.96']
['Heavy Seas Marzen', '12oz Btl', '1.49', '7.49', '29.96']
['Heavy Seas Pale Ale', '12oz Btl', '1.49', '7.49', '29.96']
['Heavy Seas Peg Leg', '12oz Btl', '1.99', '8.49', '33.96']
['Heavy Seas Red Sky At Night', '12oz Btl', '1.99', '8.99', '35.96']
['Heavy Seas Small Craft Warning', '12oz Btl', '1.99', '8.49', '33.96']
['Heavy Seas \xa1\xa5Sunken Sampler\xa1\xa6', '12oz Btl', '', '14.99', '29.98']
['Heavy Seas The Great Pumpkin', '22oz Btl', '5.49', '', '']
['Heavy Seas The Great\xa1\xa6ER Pumpkin', '22oz Btl', '7.99', '', '']
['Heavy Seas Winter Storm', '12oz Btl', '', 'Seasonal', '']
['He\xa1\xa6Brew Genesis Ale', '12oz Btl', '1.49', '8.49', '33.96']
['He\xa1\xa6Brew Jewbelation Anniv Series', '22oz Btl', '7.49', '', '']
['He\xa1\xa6Brew Messiah Bold', '12oz Btl', '1.49', '8.49', '33.96']
['Hook & Ladder Backdraft Brown', '12oz Btl', '1.99', '7.99', '31.96']
['Hook & Ladder Golden Ale', '12oz Btl', '1.49', '7.99', '31.96']
['Hook & Ladder Variety Pack', '12oz Btl', '', '14.99', '29.98']
['Jolly Pumpkin Bam Biere', '750ml Btl', '11.49', '', '']
['Jolly Pumpkin Noel de Calabaza', '750ml Btl', '15.99', '', '']
['Jolly Pumpkin Oro de Calabaza', '750ml Btl', '12.99', '', '']
['Killian\xa1\xa6s Irish Red (12pk-9.99)', '12oz Btl', '1.29', '5.99', '19.98']
['Kona Fire Rock Pale Ale', '12oz Btl', '1.59', '6.99', '27.96']
['Kona Longboard Island Lager (12pk-13.99)', '12oz Btl', '1.79', '6.99', '27.96']
['Kona Pipeline Porter', '12oz Btl', '1.79', '7.49', '29.96']
['Lagunitas A Little Sumpin Sumpin', '12oz Btl', '1.99', '8.99', '35.96']
['Lagunitas Censored Ale (Kronik)', '12oz Btl', '1.99', '7.99', '31.96']
['Lagunitas Hop Stoopid Ale', '22oz Btl', '4.29', '', '']
['Lagunitas Imperial Stout', '22oz Btl', '4.79', '', '']
['Lagunitas IPA', '12oz Btl', '1.99', '7.99', '31.96']
['Lagunitas Lucky 13.alt', '22oz Btl', '4.49', '', '']
['Lagunitas Maximus IPA', '12oz Btl', '1.99', '8.99', '35.96']
['Lagunitas New Dogtown Pale Ale', '12oz Btl', '1.99', '7.99', '31.96']
['Lagunitas Pils', '12oz Btl', '1.99', '7.99', '31.96']
['Lakefront Cherry Lager', '12oz Btl', '1.99', '9.49', '37.96']
['Lakefront Fuel Cafe Stout', '12oz Btl', '1.99', '7.99', '31.96']
['Lakefront IPA', '12oz Btl', '1.99', '7.99', '31.96']
['Lakefront New Grist Gluten Free', '12oz Btl', '1.99', '8.99', '35.96']
['Lakefront Variety Pack', '12oz Btl', '', '12.99-8pk', '38.97']
['Lakefront White Beer', '12oz Btl', '1.99', '9.49', '37.96']
